,index,Feature name,Coefficients,p_values,Original feature name,Score -  Calculations,Score -  Calculation,Score - Preliminary,Difference,Score - Final
29,29,purpose:vacation,0.11830335164516498,0.11074172445802516,purpose,10.990055210526384,8.05937382105268,8.0,-0.05937382105268085,8.0
30,30,purpose:debt_consolidation,-0.0008872134255409769,0.9798684954398132,purpose,-0.08241968122307274,-0.060441099563586675,-0.0,0.060441099563586675,-0.0
31,31,purpose:home_improvement,-0.007579067719889647,0.8533887407879832,purpose,-0.7040744960103567,-0.5163212970742616,-1.0,-0.48367870292573845,-1.0
32,32,purpose:major_purchase,0.15881358132183032,0.0015269629228855251,purpose,14.75334386250814,10.81911883250597,11.0,0.1808811674940305,11.0
33,33,purpose:car,0.20425132314506667,0.0008060723552503588,purpose,18.974384807964903,13.914548859174262,14.0,0.08545114082573768,14.0
34,34,purpose:credit_card,0.09989317063288711,0.006336623771783135,purpose,9.279800150571896,6.805186777086058,7.0,0.19481322291394232,7.0
35,35,initial_list_status:w,0.11274866848387051,1.3748938427597658e-18,initial_list_status,10.474040458867382,7.680963003169413,8.0,0.3190369968305866,8.0
36,36,term:36,0.05997444260344847,1.8605309772656466e-05,term,5.571460370872616,4.085737605306585,4.0,-0.08573760530658525,4.0
37,37,emp_length:1,0.09586271011540168,0.00021584909783785682,emp_length,8.905381480305746,6.530613085557547,7.0,0.4693869144424534,7.0
38,38,emp_length:2-4,0.12079095168718829,1.5133765661145055e-10,emp_length,11.221146396222823,8.228840690563402,8.0,-0.22884069056340195,8.0
39,39,emp_length:5-6,0.07096432642568738,0.0008963917510476724,emp_length,6.592390279316276,4.834419538165269,5.0,0.16558046183473074,5.0
40,40,emp_length:7-9,0.053044929478464446,0.0106386415010112,emp_length,4.927727705934597,3.6136669843520375,4.0,0.3863330156479625,4.0
41,41,emp_length:10,0.11991273236336895,7.055636137758308e-11,emp_length,11.139562242253334,8.169012310985778,8.0,-0.16901231098577796,8.0
42,42,mths_since_issued_date:<38,0.0,1.0,mths_since_issued_date,0.0,0.0,0.0,0.0,0.0
43,43,mths_since_issued_date:38-39,0.0,1.0,mths_since_issued_date,0.0,0.0,0.0,0.0,0.0
